product_id,ProductName,PaymentType,UnitPrice,StoreLocation,PromotionApplied,OrderType
1,Vanilla Cake,Cash,12.532304149429804,South,True,In Store
2,Red Velvet Cake,Cash,7.083069895947755,South,False,In Store
3,Chocolate Cake,Cash,6.736064100180581,North,True,Phone Order
4,Carrot Cake,Cash,7.314823479246191,North,False,Online Order
5,Pizza Pepperoni,Credit Card,7.577727219906418,East,True,In Store
6,Red Velvet Cake,Cash,14.568156389954508,West,True,Phone Order
7,Red Velvet Cake,Credit Card,16.114718754118677,North,False,In Store
8,Carrot Cake,Online,12.94987284389628,West,False,Online Order
9,Carrot Cake,Cash,17.435265988182366,East,True,Phone Order
10,Pizza Margherita,Credit Card,19.8689484010045,West,False,In Store
11,Chocolate Cake,Online,17.30018943679034,South,False,In Store
12,Carrot Cake,Online,15.423235605139388,West,False,In Store
13,Pizza Beef Double decker,Online,12.9873904915572,East,True,Online Order
14,Cheesecake,Credit Card,11.732796075120625,East,False,Phone Order
15,Pizza Pepperoni,Cash,6.265885708168135,East,False,Phone Order
16,Chocolate Cake,Cash,10.990531225920364,West,True,Phone Order
17,Pizza Beef Double decker,Credit Card,18.65201955173201,South,False,In Store
18,Vanilla Cake,Cash,17.120339448598294,North,False,Phone Order
19,Carrot Cake,Credit Card,8.240770475175308,South,True,In Store
20,Carrot Cake,Cash,11.999116770458238,West,True,Online Order
21,Red Velvet Cake,Online,17.25084803837817,West,False,Phone Order
22,Pizza Beef Double decker,Cash,6.010768321782837,North,False,In Store
23,Red Velvet Cake,Credit Card,10.810888785029888,West,True,Phone Order
24,Pizza Margherita,Credit Card,17.777618553109214,East,True,Phone Order
25,Red Velvet Cake,Online,11.058467962551855,East,False,Online Order
26,Pizza Margherita,Credit Card,6.1642196709716135,East,False,Phone Order
27,Pizza Margherita,Cash,13.138015527983772,East,False,Online Order
28,Carrot Cake,Cash,17.926137423774428,East,True,Phone Order
29,Vanilla Cake,Online,13.854283144297396,West,False,Phone Order
30,Red Velvet Cake,Credit Card,8.394186623213477,North,True,Phone Order
31,Pizza Beef Double decker,Online,10.76359430206072,North,True,Phone Order
32,Pizza Margherita,Cash,11.751850417728985,East,True,Phone Order
33,Carrot Cake,Online,13.688995307307902,West,False,Phone Order
34,Pizza Pepperoni,Credit Card,16.390265386289194,South,False,Online Order
35,Chocolate Cake,Online,6.483104264609532,South,False,Online Order
